1594.755000,3.9480E-007,1594.755000,-2.2200E-008,1594.755000,9.7270E-007,1594.755000,6.3470E-007,1594.755000,4.8300E-007,1594.755000,9.3300E-007,1594.755000,8.3040E-007,1594.755000,9.2920E-007,1594.755000,3.1200E-007,1594.755000,7.7460E-007
1594.770000,1.6850E-007,1594.770000,8.9700E-008,1594.770000,6.2290E-007,1594.770000,6.0500E-007,1594.770000,7.3200E-007,1594.770000,1.0030E-006,1594.770000,5.7070E-007,1594.770000,8.9750E-007,1594.770000,5.6560E-007,1594.770000,5.7650E-007
1594.785000,-1.3090E-007,1594.785000,1.5220E-007,1594.785000,7.0490E-007,1594.785000,6.2940E-007,1594.785000,4.3370E-007,1594.785000,9.1880E-007,1594.785000,6.1270E-007,1594.785000,8.5280E-007,1594.785000,7.8490E-007,1594.785000,6.9780E-007
1594.800000,6.0740E-007,1594.800000,1.7820E-007,1594.800000,8.9950E-007,1594.800000,4.1370E-007,1594.800000,5.6740E-007,1594.800000,5.4030E-007,1594.800000,8.9210E-007,1594.800000,6.8890E-007,1594.800000,4.2390E-007,1594.800000,9.8560E-007
1594.815000,2.7620E-007,1594.815000,1.7890E-008,1594.815000,7.8600E-007,1594.815000,6.9490E-007,1594.815000,2.2830E-007,1594.815000,7.1220E-007,1594.815000,8.7570E-007,1594.815000,8.4530E-007,1594.815000,1.0170E-006,1594.815000,6.0740E-007
1594.830000,-4.5970E-008,1594.830000,1.9230E-007,1594.830000,7.7330E-007,1594.830000,2.4030E-007,1594.830000,4.8440E-007,1594.830000,6.2920E-007,1594.830000,4.3260E-007,1594.830000,4.5040E-007,1594.830000,4.0240E-007,1594.830000,8.8610E-007
1594.845000,5.5300E-007,1594.845000,2.4430E-007,1594.845000,4.8810E-007,1594.845000,6.5580E-007,1594.845000,5.9740E-007,1594.845000,8.3280E-007,1594.845000,6.7580E-007,1594.845000,5.5160E-007,1594.845000,5.8610E-007,1594.845000,1.1650E-006
1594.860000,5.0920E-007,1594.860000,2.7490E-007,1594.860000,8.4810E-007,1594.860000,2.9760E-007,1594.860000,5.4760E-007,1594.860000,8.2640E-007,1594.860000,5.2610E-007,1594.860000,1.0040E-006,1594.860000,8.9790E-007,1594.860000,6.9250E-007
1594.875000,-2.3540E-008,1594.875000,5.6760E-007,1594.875000,8.7010E-007,1594.875000,5.0990E-007,1594.875000,5.4880E-007,1594.875000,4.9170E-007,1594.875000,5.4410E-007,1594.875000,6.7540E-007,1594.875000,5.2260E-007,1594.875000,4.9500E-007
1594.890000,4.3950E-007,1594.890000,1.8520E-007,1594.890000,5.3680E-007,1594.890000,5.8410E-007,1594.890000,6.0320E-007,1594.890000,1.1480E-006,1594.890000,1.0100E-006,1594.890000,9.3410E-007,1594.890000,1.7300E-007,1594.890000,7.4240E-007
1594.905000,2.9270E-007,1594.905000,2.4070E-007,1594.905000,6.8360E-007,1594.905000,2.0790E-007,1594.905000,2.3540E-007,1594.905000,4.3550E-007,1594.905000,7.1760E-007,1594.905000,1.0020E-006,1594.905000,4.4930E-007,1594.905000,7.4600E-007
1594.920000,8.0240E-007,1594.920000,6.0920E-008,1594.920000,8.5100E-007,1594.920000,3.4200E-007,1594.920000,4.2550E-007,1594.920000,1.0960E-006,1594.920000,5.2410E-007,1594.920000,9.1500E-007,1594.920000,6.7490E-007,1594.920000,1.2120E-006
1594.935000,5.5030E-008,1594.935000,1.8570E-008,1594.935000,5.9810E-007,1594.935000,8.0510E-007,1594.935000,4.1750E-007,1594.935000,9.5300E-007,1594.935000,5.5990E-007,1594.935000,6.3380E-007,1594.935000,4.8500E-007,1594.935000,3.8550E-007
1594.950000,4.9170E-007,1594.950000,4.1620E-007,1594.950000,9.6430E-007,1594.950000,3.3980E-007,1594.950000,4.6810E-007,1594.950000,3.2290E-007,1594.950000,6.1270E-007,1594.950000,5.6650E-007,1594.950000,7.3110E-007,1594.950000,7.6580E-007
1594.965000,1.9300E-007,1594.965000,4.1710E-007,1594.965000,5.2120E-007,1594.965000,2.3090E-007,1594.965000,6.1980E-007,1594.965000,1.1890E-006,1594.965000,5.0370E-007,1594.965000,9.2320E-007,1594.965000,2.6470E-007,1594.965000,4.4530E-007
1594.980000,1.2610E-007,1594.980000,1.0730E-007,1594.980000,8.8520E-007,1594.980000,5.6100E-007,1594.980000,2.2690E-007,1594.980000,4.9570E-007,1594.980000,6.3270E-007,1594.980000,7.3870E-007,1594.980000,9.5450E-007,1594.980000,7.3470E-007
1594.995000,6.8420E-007,1594.995000,4.6100E-007,1594.995000,3.7290E-007,1594.995000,7.4380E-007,1594.995000,8.3350E-007,1594.995000,6.9620E-007,1594.995000,1.0050E-006,1594.995000,6.5850E-007,1594.995000,6.3250E-007,1594.995000,7.1270E-007
1595.010000,-5.3680E-008,1595.010000,2.2870E-008,1595.010000,9.1010E-007,1595.010000,2.8960E-007,1595.010000,2.5670E-007,1595.010000,1.0050E-006,1595.010000,8.2930E-007,1595.010000,6.1340E-007,1595.010000,7.1980E-007,1595.010000,7.3710E-007
1595.025000,5.7430E-007,1595.025000,6.1160E-008,1595.025000,8.0220E-007,1595.025000,4.1170E-007,1595.025000,6.3650E-007,1595.025000,5.4050E-007,1595.025000,6.8710E-007,1595.025000,4.5880E-007,1595.025000,5.1810E-007,1595.025000,6.5090E-007
1595.040000,-6.3430E-009,1595.040000,4.9950E-007,1595.040000,9.8250E-007,1595.040000,5.2940E-007,1595.040000,3.1820E-007,1595.040000,5.8560E-007,1595.040000,7.2560E-007,1595.040000,1.0720E-006,1595.040000,8.4590E-007,1595.040000,8.5900E-007
1595.055000,6.1430E-007,1595.055000,-1.1070E-007,1595.055000,5.7540E-007,1595.055000,5.5120E-007,1595.055000,4.2280E-007,1595.055000,7.4090E-007,1595.055000,5.9070E-007,1595.055000,6.4760E-007,1595.055000,6.2050E-007,1595.055000,3.7950E-007
1595.070000,-1.9860E-007,1595.070000,4.4810E-007,1595.070000,9.6500E-007,1595.070000,5.5810E-007,1595.070000,8.6480E-007,1595.070000,9.2830E-007,1595.070000,4.9150E-007,1595.070000,9.2970E-007,1595.070000,6.4800E-007,1595.070000,9.0100E-007
1595.085000,4.8060E-007,1595.085000,5.4370E-007,1595.085000,7.9930E-007,1595.085000,4.2530E-007,1595.085000,4.0480E-007,1595.085000,8.2680E-007,1595.085000,1.0040E-006,1595.085000,8.1190E-007,1595.085000,8.2530E-007,1595.085000,9.5940E-007
1595.100000,2.6160E-007,1595.100000,5.4370E-009,1595.100000,7.5060E-007,1595.100000,7.2820E-007,1595.100000,7.3780E-007,1595.100000,1.0630E-006,1595.100000,6.2920E-007,1595.100000,6.6650E-007,1595.100000,4.8520E-007,1595.100000,9.9230E-007
1595.115000,4.3680E-007,1595.115000,4.4570E-007,1595.115000,7.0890E-007,1595.115000,3.8020E-007,1595.115000,5.6160E-007,1595.115000,7.8440E-007,1595.115000,7.5820E-007,1595.115000,3.8730E-007,1595.115000,3.4000E-007,1595.115000,1.1210E-007
1595.130000,2.2340E-007,1595.130000,1.8750E-007,1595.130000,7.9440E-007,1595.130000,5.3280E-007,1595.130000,4.4700E-007,1595.130000,7.4980E-007,1595.130000,4.1530E-007,1595.130000,1.0200E-006,1595.130000,6.8620E-007,1595.130000,9.7520E-007
1595.145000,3.1180E-007,1595.145000,2.9200E-007,1595.145000,9.2370E-007,1595.145000,3.9710E-007,1595.145000,7.2710E-007,1595.145000,1.0360E-006,1595.145000,5.0810E-007,1595.145000,4.9500E-007,1595.145000,1.0790E-006,1595.145000,8.5330E-007
1595.160000,3.1470E-007,1595.160000,5.3630E-007,1595.160000,7.2560E-007,1595.160000,4.5170E-007,1595.160000,6.4780E-007,1595.160000,8.6610E-007,1595.160000,8.7680E-007,1595.160000,4.3620E-007,1595.160000,4.8120E-007,1595.160000,4.6350E-007
1595.175000,5.2570E-007,1595.175000,-2.4670E-008,1595.175000,9.1770E-007,1595.175000,5.6250E-007,1595.175000,3.2290E-007,1595.175000,7.7910E-007,1595.175000,7.8060E-007,1595.175000,1.4760E-006,1595.175000,6.1670E-007,1595.175000,1.0620E-006
1595.190000,-1.1680E-007,1595.190000,3.0380E-007,1595.190000,2.0990E-007,1595.190000,4.1570E-007,1595.190000,5.9430E-007,1595.190000,9.6010E-007,1595.190000,5.5080E-007,1595.190000,4.7170E-007,1595.190000,4.6100E-007,1595.190000,-1.1320E-009
1595.205000,1.4020E-007,1595.205000,1.0120E-007,1595.205000,8.8260E-007,1595.205000,2.7540E-007,1595.205000,1.7820E-007,1595.205000,1.0300E-006,1595.205000,6.9980E-007,1595.205000,4.4060E-007,1595.205000,2.9930E-007,1595.205000,1.3840E-006
1595.220000,1.2770E-007,1595.220000,4.1220E-007,1595.220000,7.8730E-007,1595.220000,6.9180E-007,1595.220000,7.0160E-007,1595.220000,7.2980E-007,1595.220000,7.2800E-007,1595.220000,6.0740E-007,1595.220000,6.8560E-007,1595.220000,8.3990E-007
1595.235000,4.5930E-007,1595.235000,-1.3360E-008,1595.235000,9.3280E-007,1595.235000,2.3520E-007,1595.235000,1.4310E-007,1595.235000,6.3650E-007,1595.235000,3.4380E-007,1595.235000,5.5140E-007,1595.235000,5.4900E-007,1595.235000,1.0420E-006
1595.250000,4.6610E-007,1595.250000,3.8730E-008,1595.250000,6.2450E-007,1595.250000,5.4030E-007,1595.250000,4.1310E-007,1595.250000,9.3190E-007,1595.250000,6.9090E-007,1595.250000,5.3940E-007,1595.250000,3.6550E-007,1595.250000,5.0280E-007
1595.265000,-1.7350E-007,1595.265000,4.8630E-007,1595.265000,2.1330E-007,1595.265000,5.0810E-007,1595.265000,3.5440E-007,1595.265000,6.4140E-007,1595.265000,4.0280E-007,1595.265000,1.1450E-006,1595.265000,7.1980E-007,1595.265000,5.4230E-007
1595.280000,6.8890E-007,1595.280000,1.7530E-007,1595.280000,1.1080E-006,1595.280000,2.1020E-007,1595.280000,3.2130E-007,1595.280000,1.0770E-006,1595.280000,8.0000E-007,1595.280000,5.8700E-007,1595.280000,4.7370E-007,1595.280000,8.4280E-007
1595.295000,6.0250E-008,1595.295000,1.8370E-007,1595.295000,5.6340E-007,1595.295000,5.3450E-007,1595.295000,6.0520E-007,1595.295000,4.7950E-007,1595.295000,6.4870E-007,1595.295000,6.1030E-007,1595.295000,4.2840E-007,1595.295000,6.9360E-007
1595.310000,1.5880E-007,1595.310000,1.4130E-007,1595.310000,8.5730E-007,1595.310000,5.2650E-007,1595.310000,2.5910E-007,1595.310000,6.8620E-007,1595.310000,9.2830E-007,1595.310000,7.5950E-007,1595.310000,8.7570E-007,1595.310000,4.1060E-007
1595.325000,-1.6530E-008,1595.325000,2.4120E-007,1595.325000,8.3440E-007,1595.325000,5.6050E-007,1595.325000,5.5880E-007,1595.325000,9.4960E-007,1595.325000,8.0710E-007,1595.325000,6.6250E-007,1595.325000,2.4670E-007,1595.325000,8.0550E-007
1595.340000,9.5140E-009,1595.340000,7.2020E-008,1595.340000,3.8660E-007,1595.340000,5.4210E-007,1595.340000,9.8870E-007,1595.340000,1.4380E-007,1595.340000,6.4830E-007,1595.340000,9.5450E-007,1595.340000,7.8570E-007,1595.340000,7.2580E-007
1595.355000,4.9120E-007,1595.355000,-3.3670E-007,1595.355000,1.0760E-006,1595.355000,5.7920E-007,1595.355000,4.8440E-007,1595.355000,1.2710E-006,1595.355000,4.8120E-007,1595.355000,4.3750E-007,1595.355000,1.0310E-006,1595.355000,4.8970E-007
1595.370000,6.7050E-008,1595.370000,3.2800E-007,1595.370000,5.3970E-007,1595.370000,2.3380E-007,1595.370000,4.3620E-007,1595.370000,4.2460E-007,1595.370000,8.2730E-007,1595.370000,3.0760E-007,1595.370000,6.8160E-007,1595.370000,9.5630E-007
1595.385000,4.4080E-007,1595.385000,4.4040E-007,1595.385000,6.6400E-007,1595.385000,4.8080E-007,1595.385000,5.1740E-007,1595.385000,1.0980E-006,1595.385000,6.3180E-008,1595.385000,1.1610E-006,1595.385000,3.9930E-007,1595.385000,5.2320E-007
1595.400000,3.1640E-007,1595.400000,4.2350E-008,1595.400000,5.1100E-007,1595.400000,4.5970E-007,1595.400000,1.2000E-007,1595.400000,5.6190E-007,1595.400000,9.0260E-007,1595.400000,5.8250E-007,1595.400000,7.0530E-007,1595.400000,7.3150E-007
1595.415000,5.6500E-007,1595.415000,2.5270E-007,1595.415000,1.1400E-006,1595.415000,5.7610E-007,1595.415000,5.1500E-007,1595.415000,9.5760E-007,1595.415000,4.7590E-007,1595.415000,3.3690E-007,1595.415000,1.0570E-006,1595.415000,5.7900E-007
1595.430000,2.2170E-007,1595.430000,1.6150E-007,1595.430000,4.1350E-007,1595.430000,7.0910E-007,1595.430000,1.8030E-007,1595.430000,8.4330E-007,1595.430000,6.6960E-007,1595.430000,6.0890E-007,1595.430000,6.0650E-007,1595.430000,5.2850E-007
1595.445000,5.3900E-008,1595.445000,4.2130E-007,1595.445000,7.1580E-007,1595.445000,2.2130E-007,1595.445000,7.3020E-007,1595.445000,6.0520E-007,1595.445000,6.6540E-007,1595.445000,7.7260E-007,1595.445000,9.7270E-007,1595.445000,5.5810E-007
1595.460000,2.2940E-007,1595.460000,-1.6710E-007,1595.460000,9.0380E-007,1595.460000,9.7810E-007,1595.460000,2.8980E-007,1595.460000,6.5330E-007,1595.460000,8.0620E-007,1595.460000,9.0400E-007,1595.460000,3.9250E-007,1595.460000,1.0480E-006
1595.475000,2.5760E-007,1595.475000,1.2060E-007,1595.475000,6.2260E-007,1595.475000,9.5670E-008,1595.475000,6.0220E-007,1595.475000,6.3860E-007,1595.475000,9.2030E-007,1595.475000,5.7820E-007,1595.475000,3.8760E-007,1595.475000,4.9260E-007
1595.490000,3.6210E-007,1595.490000,-4.3080E-009,1595.490000,7.4730E-007,1595.490000,3.5720E-007,1595.490000,3.5760E-007,1595.490000,7.7440E-007,1595.490000,9.0400E-007,1595.490000,4.0080E-007,1595.490000,7.5310E-007,1595.490000,6.8110E-007
1595.505000,5.3500E-008,1595.505000,9.4320E-008,1595.505000,7.1980E-007,1595.505000,6.6310E-007,1595.505000,4.7410E-007,1595.505000,1.4390E-007,1595.505000,5.9420E-007,1595.505000,9.2540E-007,1595.505000,3.1670E-007,1595.505000,1.0940E-006
1595.520000,6.6020E-007,1595.520000,-2.2430E-008,1595.520000,8.2220E-007,1595.520000,2.2250E-007,1595.520000,1.6140E-007,1595.520000,8.9450E-007,1595.520000,8.1470E-007,1595.520000,5.0370E-007,1595.520000,9.9540E-007,1595.520000,3.3760E-007
1595.535000,-1.2720E-007,1595.535000,2.2450E-007,1595.535000,3.8650E-007,1595.535000,5.0900E-007,1595.535000,8.5200E-007,1595.535000,7.9450E-007,1595.535000,7.1110E-007,1595.535000,5.3570E-007,1595.535000,3.2100E-007,1595.535000,5.0390E-007
1595.550000,5.7130E-007,1595.550000,-2.1900E-007,1595.550000,5.1410E-007,1595.550000,2.7780E-007,1595.550000,3.0940E-007,1595.550000,4.5280E-007,1595.550000,7.7180E-007,1595.550000,7.4600E-007,1595.550000,3.1630E-007,1595.550000,8.4020E-007
1595.565000,2.3600E-007,1595.565000,-1.9160E-007,1595.565000,3.0210E-007,1595.565000,5.9790E-007,1595.565000,4.6060E-007,1595.565000,7.1860E-007,1595.565000,5.2520E-007,1595.565000,6.9240E-007,1595.565000,9.1960E-007,1595.565000,7.1690E-007
1595.580000,1.5370E-007,1595.580000,1.6750E-007,1595.580000,8.8980E-007,1595.580000,1.9540E-007,1595.580000,2.5870E-007,1595.580000,9.9940E-007,1595.580000,1.0140E-006,1595.580000,8.2530E-007,1595.580000,2.0630E-007,1595.580000,3.1810E-007
1595.595000,3.8680E-007,1595.595000,2.0650E-007,1595.595000,4.4540E-007,1595.595000,8.9290E-007,1595.595000,8.5070E-007,1595.595000,4.9630E-008,1595.595000,3.6610E-007,1595.595000,7.7760E-007,1595.595000,6.6080E-007,1595.595000,1.2050E-006
1595.610000,6.8240E-008,1595.610000,1.7790E-007,1595.610000,1.0580E-006,1595.610000,-3.6270E-009,1595.610000,5.5170E-007,1595.610000,1.2710E-006,1595.610000,8.7870E-007,1595.610000,7.1580E-007,1595.610000,8.0250E-007,1595.610000,6.0190E-007
1595.625000,3.7230E-007,1595.625000,-2.1310E-008,1595.625000,4.3740E-007,1595.625000,8.3510E-007,1595.625000,6.9200E-007,1595.625000,4.9010E-007,1595.625000,1.6520E-007,1595.625000,4.8210E-007,1595.625000,3.6450E-007,1595.625000,9.1120E-007
1595.640000,3.8880E-007,1595.640000,3.3180E-007,1595.640000,6.9530E-007,1595.640000,-1.8130E-009,1595.640000,1.2600E-007,1595.640000,6.5930E-007,1595.640000,6.6170E-007,1595.640000,1.1420E-006,1595.640000,7.0660E-007,1595.640000,3.6630E-007
1595.655000,3.9210E-007,1595.655000,1.4480E-007,1595.655000,4.7540E-007,1595.655000,6.1170E-007,1595.655000,4.5860E-007,1595.655000,8.0580E-007,1595.655000,7.5400E-007,1595.655000,5.0300E-007,1595.655000,4.8610E-007,1595.655000,1.1630E-006
1595.670000,-1.9310E-007,1595.670000,2.4030E-008,1595.670000,5.5860E-007,1595.670000,4.7370E-007,1595.670000,2.6650E-007,1595.670000,9.0450E-007,1595.670000,8.5070E-007,1595.670000,8.8760E-007,1595.670000,3.5450E-007,1595.670000,6.5880E-007
1595.685000,4.2410E-007,1595.685000,3.2670E-007,1595.685000,7.9070E-007,1595.685000,1.8900E-007,1595.685000,5.4260E-007,1595.685000,3.1050E-007,1595.685000,6.3750E-007,1595.685000,5.4970E-007,1595.685000,6.1970E-007,1595.685000,1.0010E-006
1595.700000,-5.7350E-008,1595.700000,2.1150E-007,1595.700000,4.8100E-007,1595.700000,8.7870E-007,1595.700000,3.4360E-007,1595.700000,9.6410E-007,1595.700000,6.2240E-007,1595.700000,1.0250E-006,1595.700000,8.1090E-007,1595.700000,5.9480E-007
1595.715000,6.8930E-007,1595.715000,3.4670E-007,1595.715000,8.6340E-007,1595.715000,6.9310E-007,1595.715000,6.8730E-007,1595.715000,7.5270E-007,1595.715000,6.2660E-007,1595.715000,5.3550E-007,1595.715000,6.5040E-007,1595.715000,7.5640E-007
1595.730000,3.9900E-007,1595.730000,3.5140E-008,1595.730000,3.8630E-007,1595.730000,3.0090E-007,1595.730000,3.9790E-007,1595.730000,6.1040E-007,1595.730000,8.2800E-007,1595.730000,5.5790E-007,1595.730000,3.3500E-007,1595.730000,1.0400E-006
1595.745000,1.0450E-007,1595.745000,-8.2070E-008,1595.745000,8.8110E-007,1595.745000,3.9810E-007,1595.745000,6.3080E-007,1595.745000,1.1820E-006,1595.745000,5.0320E-007,1595.745000,5.9820E-007,1595.745000,6.6020E-007,1595.745000,8.7180E-007
1595.760000,-7.3690E-008,1595.760000,3.8210E-007,1595.760000,7.7760E-007,1595.760000,5.6610E-007,1595.760000,3.9480E-007,1595.760000,3.3900E-007,1595.760000,6.7950E-007,1595.760000,1.0340E-006,1595.760000,4.3740E-007,1595.760000,2.5160E-007
1595.775000,7.9450E-007,1595.775000,5.8700E-008,1595.775000,8.1090E-007,1595.775000,5.7530E-007,1595.775000,1.2370E-007,1595.775000,8.9320E-007,1595.775000,9.5450E-007,1595.775000,5.0410E-007,1595.775000,6.2310E-007,1595.775000,8.7000E-007
1595.790000,1.8990E-007,1595.790000,7.1860E-008,1595.790000,7.7780E-007,1595.790000,6.7240E-007,1595.790000,1.0500E-006,1595.790000,5.6840E-007,1595.790000,1.0130E-007,1595.790000,4.2650E-007,1595.790000,1.9740E-007,1595.790000,5.6880E-007
1595.805000,5.7440E-007,1595.805000,2.1170E-007,1595.805000,6.4150E-007,1595.805000,8.8230E-007,1595.805000,5.4640E-008,1595.805000,6.9730E-007,1595.805000,9.6430E-007,1595.805000,8.1820E-007,1595.805000,7.9090E-007,1595.805000,5.3720E-007
1595.820000,-2.7740E-007,1595.820000,-2.5160E-008,1595.820000,7.0710E-007,1595.820000,8.8870E-008,1595.820000,9.9300E-007,1595.820000,9.5360E-007,1595.820000,2.4160E-007,1595.820000,5.9880E-007,1595.820000,6.2680E-007,1595.820000,8.7110E-007
1595.835000,4.2210E-007,1595.835000,3.3450E-007,1595.835000,5.8020E-007,1595.835000,6.8220E-007,1595.835000,5.7930E-007,1595.835000,4.2340E-007,1595.835000,9.4270E-007,1595.835000,7.7820E-007,1595.835000,2.8470E-007,1595.835000,8.9270E-007
1595.850000,-9.5670E-008,1595.850000,3.6030E-008,1595.850000,5.2480E-007,1595.850000,2.0130E-007,1595.850000,6.7770E-007,1595.850000,6.4260E-007,1595.850000,1.2430E-006,1595.850000,7.7760E-007,1595.850000,9.6180E-007,1595.850000,8.2600E-007
1595.865000,8.5940E-007,1595.865000,1.2150E-007,1595.865000,5.7480E-007,1595.865000,5.3120E-007,1595.865000,3.8250E-007,1595.865000,9.0380E-007,1595.865000,1.1630E-007,1595.865000,7.0690E-007,1595.865000,4.3630E-007,1595.865000,5.7640E-007
1595.880000,-3.0670E-007,1595.880000,1.8090E-007,1595.880000,7.6180E-007,1595.880000,4.0880E-007,1595.880000,6.1750E-007,1595.880000,5.3370E-007,1595.880000,6.8150E-007,1595.880000,5.5610E-007,1595.880000,7.6710E-007,1595.880000,7.8270E-007
1595.895000,5.6930E-007,1595.895000,4.7810E-007,1595.895000,6.0660E-007,1595.895000,1.6340E-007,1595.895000,5.7730E-007,1595.895000,6.9330E-007,1595.895000,6.2260E-007,1595.895000,6.3170E-007,1595.895000,4.7100E-007,1595.895000,9.0290E-007
1595.910000,1.2400E-007,1595.910000,-1.5320E-007,1595.910000,6.1570E-007,1595.910000,6.4420E-007,1595.910000,2.3980E-007,1595.910000,6.0170E-007,1595.910000,5.6840E-007,1595.910000,5.9880E-007,1595.910000,5.7440E-007,1595.910000,3.8300E-007
1595.925000,-4.5340E-009,1595.925000,2.3110E-007,1595.925000,5.6410E-007,1595.925000,6.5310E-007,1595.925000,1.0340E-006,1595.925000,8.6760E-007,1595.925000,2.6760E-007,1595.925000,8.4510E-007,1595.925000,2.6430E-007,1595.925000,9.6520E-007
1595.940000,4.8150E-007,1595.940000,-4.1940E-008,1595.940000,4.3250E-007,1595.940000,7.8670E-007,1595.940000,4.6610E-007,1595.940000,7.9110E-007,1595.940000,9.6180E-007,1595.940000,7.1020E-007,1595.940000,4.6430E-007,1595.940000,8.4310E-007
1595.955000,1.7730E-007,1595.955000,3.4300E-007,1595.955000,7.3330E-007,1595.955000,5.2080E-007,1595.955000,1.8520E-007,1595.955000,2.7800E-007,1595.955000,6.3820E-007,1595.955000,8.6290E-007,1595.955000,9.3450E-007,1595.955000,2.9270E-007
1595.970000,3.5900E-007,1595.970000,2.0520E-007,1595.970000,5.8300E-007,1595.970000,4.2830E-007,1595.970000,4.0430E-007,1595.970000,8.2530E-007,1595.970000,3.2380E-007,1595.970000,1.7950E-007,1595.970000,2.8180E-007,1595.970000,1.2730E-006
1595.985000,4.7950E-007,1595.985000,6.4370E-008,1595.985000,9.9160E-007,1595.985000,3.9880E-007,1595.985000,5.2080E-007,1595.985000,7.1040E-007,1595.985000,4.4120E-007,1595.985000,8.6560E-007,1595.985000,2.6690E-007,1595.985000,6.0530E-008
1596.000000,-8.1850E-008,1596.000000,5.2840E-007,1596.000000,3.6760E-007,1596.000000,4.2320E-007,1596.000000,6.2350E-007,1596.000000,4.4320E-007,1596.000000,8.1020E-007,1596.000000,5.7900E-007,1596.000000,5.9020E-007,1596.000000,7.7040E-007
1596.015000,-2.7650E-008,1596.015000,-6.6640E-008,1596.015000,6.7600E-007,1596.015000,-1.2690E-008,1596.015000,8.6400E-007,1596.015000,9.2450E-007,1596.015000,7.8840E-007,1596.015000,8.8250E-007,1596.015000,4.6830E-007,1596.015000,7.2420E-007
1596.030000,1.2740E-007,1596.030000,3.4450E-007,1596.030000,7.4350E-007,1596.030000,6.8710E-007,1596.030000,4.0960E-007,1596.030000,4.8830E-007,1596.030000,2.4690E-008,1596.030000,2.8960E-007,1596.030000,8.1250E-007,1596.030000,1.1730E-006
1596.045000,3.1230E-007,1596.045000,-2.1850E-007,1596.045000,5.8300E-007,1596.045000,3.7100E-007,1596.045000,4.0990E-007,1596.045000,9.0180E-007,1596.045000,8.5200E-007,1596.045000,1.0730E-006,1596.045000,4.1880E-007,1596.045000,5.5150E-007
1596.060000,6.7550E-008,1596.060000,3.9990E-007,1596.060000,9.6720E-007,1596.060000,6.2020E-007,1596.060000,4.4880E-008,1596.060000,6.8690E-007,1596.060000,6.8690E-008,1596.060000,8.9780E-007,1596.060000,5.3570E-007,1596.060000,1.1900E-006
1596.075000,3.8300E-008,1596.075000,-2.4250E-008,1596.075000,3.9540E-007,1596.075000,3.5270E-007,1596.075000,6.2570E-007,1596.075000,5.2750E-007,1596.075000,9.1030E-007,1596.075000,7.1820E-007,1596.075000,2.6850E-007,1596.075000,4.2480E-007
1596.090000,2.5690E-007,1596.090000,4.2700E-007,1596.090000,5.7170E-007,1596.090000,4.7280E-007,1596.090000,4.8060E-007,1596.090000,8.9490E-007,1596.090000,1.6030E-007,1596.090000,6.7200E-007,1596.090000,2.1400E-007,1596.090000,1.0100E-006
1596.105000,1.9380E-007,1596.105000,3.4700E-007,1596.105000,6.0640E-007,1596.105000,5.9420E-007,1596.105000,4.9230E-007,1596.105000,5.3920E-007,1596.105000,8.3400E-007,1596.105000,5.4130E-007,1596.105000,6.3130E-007,1596.105000,9.5070E-007
1596.120000,1.9340E-007,1596.120000,1.6070E-007,1596.120000,5.6550E-007,1596.120000,8.9940E-007,1596.120000,3.6590E-007,1596.120000,1.1940E-007,1596.120000,7.7490E-007,1596.120000,8.1760E-007,1596.120000,1.1490E-006,1596.120000,7.2510E-007
1596.135000,6.3240E-007,1596.135000,6.6620E-007,1596.135000,5.4190E-007,1596.135000,1.6550E-007,1596.135000,5.2150E-007,1596.135000,7.1220E-007,1596.135000,1.2940E-007,1596.135000,7.2600E-007,1596.135000,2.4510E-007,1596.135000,7.1380E-007
1596.150000,-8.7960E-008,1596.150000,5.6900E-008,1596.150000,5.4150E-007,1596.150000,5.1460E-008,1596.150000,3.5990E-007,1596.150000,6.9240E-007,1596.150000,9.3140E-007,1596.150000,9.9160E-007,1596.150000,2.5030E-007,1596.150000,6.8800E-007
1596.165000,2.7890E-007,1596.165000,5.2150E-009,1596.165000,6.9350E-007,1596.165000,7.6000E-007,1596.165000,8.4910E-007,1596.165000,7.1980E-007,1596.165000,7.6730E-007,1596.165000,4.6880E-007,1596.165000,6.5200E-007,1596.165000,1.0670E-006
1596.180000,-4.7830E-008,1596.180000,1.7160E-007,1596.180000,7.9310E-007,1596.180000,7.5310E-007,1596.180000,4.6230E-008,1596.180000,3.6470E-007,1596.180000,5.1660E-007,1596.180000,8.6910E-007,1596.180000,5.7970E-007,1596.180000,2.9850E-007
1596.195000,3.4990E-007,1596.195000,1.4460E-007,1596.195000,5.1190E-007,1596.195000,3.4430E-007,1596.195000,1.5750E-007,1596.195000,6.7770E-007,1596.195000,2.8940E-007,1596.195000,5.3500E-007,1596.195000,2.9320E-007,1596.195000,9.6100E-007
1596.210000,1.9560E-007,1596.210000,1.7930E-007,1596.210000,4.0540E-007,1596.210000,5.0430E-007,1596.210000,4.6010E-007,1596.210000,3.4100E-007,1596.210000,8.6250E-007,1596.210000,8.9290E-007,1596.210000,7.2000E-007,1596.210000,7.6490E-007
1596.225000,3.3210E-007,1596.225000,-2.7200E-008,1596.225000,6.4550E-007,1596.225000,3.3870E-007,1596.225000,4.6230E-007,1596.225000,5.1260E-007,1596.225000,5.0350E-007,1596.225000,5.7840E-007,1596.225000,3.8700E-007,1596.225000,8.2200E-007
